replica_index,checkpoint_index,selected,effective_rank,spectral_concentration,minimum_eigenvalue,maximum_eigenvalue,condition_number,diagonal_minimum,diagonal_maximum,symmetry_error,off_diagonal_mean,off_diagonal_standard_deviation
0,0,False,26.90886478652024,0.24346683329103896,0.032302076153909565,17.52961199695482,542.6775639259704,0.9999999999999978,1.0000000000000036,3.885780586188048e-16,0.21895880605801893,0.15028399866622863
0,1,False,27.565085678271558,0.23807108772766225,0.03321665270053323,17.141118316391676,516.0399053730212,0.9999999999999967,1.0000000000000036,3.3306690738754696e-16,0.21356562343514612,0.1483138547582069
0,2,True,28.495203245345134,0.22875042416664984,0.03468393009774086,16.47003053999878,474.8605620408501,0.9999999999999962,1.0000000000000022,3.3306690738754696e-16,0.20416445546177053,0.1465946990757182
0,3,False,29.410461532630595,0.21673121104041207,0.036213779887907686,15.60464719490966,430.90357436342293,0.9999999999999967,1.0000000000000027,3.3306690738754696e-16,0.1919274152423341,0.1470131961990276
0,4,False,29.887726165914263,0.20671156279806907,0.03701472222620915,14.883232521460968,402.0895369821942,0.9999999999999969,1.0000000000000018,3.3306690738754696e-16,0.1816406770420549,0.15001625883483471
0,5,False,29.902658644649936,0.20131937572797512,0.03706720158386934,14.494995052414211,391.0463815191823,0.9999999999999964,1.000000000000004,4.440892098500626e-16,0.17606705736809775,0.15370550235923325
0,6,False,29.6827836362752,0.1994624923758267,0.0367762816839334,14.361299451059516,390.50439015246053,0.9999999999999964,1.0000000000000027,3.3306690738754696e-16,0.17412595395250055,0.1568322820141776
0,7,False,29.388799546347904,0.19951539266562324,0.03640550377265382,14.365108271924878,394.58616921310954,0.9999999999999976,1.0000000000000036,3.3306690738754696e-16,0.1741471314292983,0.15923854392890124
0,8,False,29.091029889114655,0.20047442151252456,0.036062782212535865,14.434158348901768,400.2508254586158,0.9999999999999962,1.000000000000003,5.551115123125783e-16,0.17509272158902092,0.1610859868711539
0,9,False,28.813681592283434,0.20183508479480317,0.03578177376737862,14.532126105225828,406.1320771770799,0.9999999999999969,1.0000000000000044,2.7755575615628914e-16,0.17644355949191637,0.16254360012198116
0,10,False,28.561303983062412,0.20336854293628442,0.03556530481184978,14.642535091412485,411.7084098920426,0.9999999999999973,1.000000000000004,3.3306690738754696e-16,0.17796828222317734,0.16373387765842298
1,0,False,29.826616118669868,0.20578150290947161,0.03634724598314452,14.816268209481951,407.6311095578677,0.9999999999999971,1.0000000000000018,3.3306690738754696e-16,0.18333027540735666,0.1488434240644108
1,1,False,29.913957278024583,0.2075129648285999,0.03628324785928106,14.940933467659193,411.78599902647306,0.9999999999999971,1.000000000000003,4.440892098500626e-16,0.18514734882312778,0.14720647047203483
1,2,False,30.159024106341505,0.20773670089223134,0.03633331571012832,14.957042464240647,411.6619188727442,0.9999999999999971,1.0000000000000018,4.440892098500626e-16,0.18556781864870237,0.14510431379170577
1,3,False,30.49698696422867,0.20621856766219016,0.03635029303295437,14.847736871677682,408.46264590541415,0.999999999999996,1.0000000000000018,3.3306690738754696e-16,0.18439533628577087,0.14315557700795026
1,4,False,30.689402639301736,0.2041118400460396,0.03599310789142036,14.696052483314858,408.30184844410013,0.9999999999999971,1.0000000000000022,3.3306690738754696e-16,0.1827047739287339,0.14271960850145318
1,5,False,30.458894193427785,0.2039109171866028,0.034891970461053086,14.681586037435402,420.7726260064102,0.9999999999999967,1.000000000000003,5.551115123125783e-16,0.1827849566691674,0.14479216341859133
1,6,False,29.774729771606754,0.20714580599230908,0.03304658013120784,14.914498031446254,451.31744259859465,0.9999999999999967,1.0000000000000027,4.440892098500626e-16,0.18602657102667816,0.14883250303424286
1,7,True,28.839812606567005,0.21310320844440775,0.030852123483389206,15.34343100799735,497.3217164860065,0.9999999999999967,1.0000000000000018,3.3306690738754696e-16,0.19175762111379316,0.15359511852939176
1,8,False,27.866070426727646,0.22017642273363172,0.028718775947745936,15.852702436821478,551.9978450915042,0.9999999999999964,1.0000000000000022,3.3306690738754696e-16,0.198489369136993,0.15820970581267876
1,9,False,26.97433471757388,0.22714352929030096,0.026865062839136387,16.354334108901675,608.758453565836,0.999999999999998,1.0000000000000027,3.3306690738754696e-16,0.20509492693447878,0.1622900873886455
1,10,False,26.206763149256,0.23342187867680483,0.025342095657976436,16.806375264729958,663.1801683472908,0.999999999999998,1.000000000000004,4.440892098500626e-16,0.21104168846413804,0.16574086910319152
2,0,True,29.920486109265468,0.21112236865055908,0.0435239438000332,15.200810542840244,349.2516811592025,0.9999999999999967,1.000000000000003,3.3306690738754696e-16,0.18815737785042455,0.14588856478684079
2,1,False,29.932885437938626,0.21125975898079383,0.04367169888038449,15.210702646617161,348.2965636001208,0.9999999999999967,1.000000000000004,4.440892098500626e-16,0.18845634239558332,0.14558828045150676
2,2,False,29.956629752226462,0.2112456511795815,0.04382651798928738,15.209686884929852,347.04301374450034,0.999999999999996,1.0000000000000022,3.3306690738754696e-16,0.18861174474180145,0.14526545346233335
2,3,False,30.00757477007733,0.21094688745399645,0.0440235841527016,15.188175896687738,345.0008941572215,0.9999999999999967,1.0000000000000027,3.3306690738754696e-16,0.18849646558373265,0.14487772846945957
2,4,False,30.1094628560167,0.2101589234548189,0.04431700385762578,15.131442488746956,341.43649551216754,0.9999999999999971,1.0000000000000027,4.440892098500626e-16,0.187913268010643,0.14436756098641737
2,5,False,30.29471590497861,0.2085834331035803,0.044780976316923356,15.018007183457787,335.36578294257225,0.9999999999999982,1.0000000000000036,3.3306690738754696e-16,0.1865701448984481,0.14367391248344558
2,6,False,30.598168306711962,0.205843560512944,0.045493779156170096,14.820736356931956,325.7750099426922,0.9999999999999969,1.000000000000004,3.885780586188048e-16,0.18408919893417974,0.14278057708493072
2,7,False,31.03463890574293,0.2016137537796655,0.04648605065756922,14.516190272135916,312.26981141217414,0.999999999999996,1.0000000000000036,4.440892098500626e-16,0.18012556362219626,0.14182410333491105
2,8,False,31.558801874633208,0.19593843770738312,0.04765523619765606,14.107567514931585,296.03394381298796,0.9999999999999969,1.0000000000000036,3.3306690738754696e-16,0.17467967663004147,0.14120772399000409
2,9,False,32.041424643096185,0.18959524424643692,0.04872488867245444,13.650857585743445,280.16190406322386,0.999999999999996,1.0000000000000027,3.3306690738754696e-16,0.16847849315986183,0.14150171951932794
2,10,False,32.32239964758136,0.18398781693131178,0.04937791780634154,13.24712281905444,268.28030438645044,0.9999999999999962,1.0000000000000022,4.440892098500626e-16,0.16290741580662832,0.1430142964491863
3,0,True,24.978422564788534,0.26763685263448284,0.05054252030060713,19.26985338968278,381.2602393998802,0.9999999999999976,1.000000000000004,4.440892098500626e-16,0.24623452844762453,0.14731806615036827
3,1,False,25.082839576188576,0.268525145413812,0.05162347947102079,19.333810469794464,374.5158340333808,0.9999999999999971,1.000000000000003,4.440892098500626e-16,0.24726372431825983,0.1455984605204873
3,2,False,25.30138690106428,0.26826344101450483,0.05308258402985838,19.314967753044343,363.86638115016933,0.9999999999999969,1.000000000000003,4.440892098500626e-16,0.24716237956791776,0.1435146861861987
3,3,False,25.79330187167312,0.2646021142110454,0.055297092271640674,19.051352223195273,344.52719737247077,0.9999999999999978,1.000000000000003,4.440892098500626e-16,0.24372040266504347,0.1411417652326349
3,4,False,26.64594026548071,0.2546709006244768,0.05764349905670655,18.336304844962328,318.09840042715075,0.9999999999999969,1.0000000000000022,3.885780586188048e-16,0.23404181463411095,0.1401096760741092
3,5,False,27.45977380071082,0.24054202660403767,0.05743111186073121,17.319025915490712,301.561738130525,0.999999999999996,1.0000000000000027,3.3306690738754696e-16,0.2199036310852336,0.14383183066723787
3,6,False,27.66004513779878,0.23138891594794522,0.055101269042713806,16.660001948252066,302.3524183324606,0.9999999999999982,1.0000000000000027,3.3306690738754696e-16,0.2102417081580691,0.15069638147484068
